Date,Open,High,Low,Close,Volume,Adj Close,Return
15/07/2014,5455.4,5479.7,5438.1,5455.11,644096700,5455.11,-0.001343719
14/07/2014,5432.6,5463,5432.6,5455.44,527080900,5455.44,6.04937E-05
11/07/2014,5410.9,5448.5,5388.9,5432.57,596480900,5432.57,-0.004192146
10/07/2014,5398.1,5415.6,5394.7,5410.86,612092800,5410.86,-0.003996267
9/07/2014,5454.5,5454.5,5385.3,5398.08,635309200,5398.08,-0.002361917
8/07/2014,5462.4,5463.6,5444.6,5454.53,598547500,5454.53,0.010457422
7/07/2014,5468.2,5479.2,5457.9,5462.44,563632300,5462.44,0.001450171
4/07/2014,5435.2,5474.8,5435.2,5468.16,694135400,5468.16,0.001047151
3/07/2014,5401,5443.3,5401,5435.17,685679600,5435.17,-0.006033108
2/07/2014,5321.7,5399.35,5321.7,5399.35,683336400,5399.35,-0.00659041
1/07/2014,5339.9,5359.1,5316.7,5321.71,715122300,5321.71,-0.014379509
30/06/2014,5388,5389.1,5339.87,5339.87,644103700,5339.87,0.003412437
27/06/2014,5407,5422.6,5384,5388.28,845059300,5388.28,0.009065764
26/06/2014,5345.8,5407.01,5345.8,5407.01,686904000,5407.01,0.003476063
25/06/2014,5375.9,5375.9,5322.7,5345.85,787370600,5345.85,-0.011311242
24/06/2014,5395.4,5397,5368.1,5375.91,687513700,5375.91,0.005623053
23/06/2014,5362.4,5410.3,5362.4,5395.45,693491000,5395.45,0.003634733
20/06/2014,5408.7,5408.7,5361,5362.43,1141768200,5362.43,-0.006119971
19/06/2014,5324.6,5408.7,5324.6,5408.7,1009997000,5408.7,0.008628551
18/06/2014,5342,5346,5324.58,5324.58,790207200,5324.58,-0.015552721
17/06/2014,5353.6,5357.9,5330.6,5341.99,728245500,5341.99,0.003269741
16/06/2014,5346.7,5353.62,5322.5,5353.62,717752200,5353.62,0.002177091
13/06/2014,5369.6,5369.6,5315.9,5346.73,850330500,5346.73,-0.00128698
12/06/2014,5394.5,5394.5,5364,5369.57,603367200,5369.57,0.00427177
11/06/2014,5409.7,5409.7,5385.4,5394.47,647103100,5394.47,0.004637243
10/06/2014,5404.5,5436,5403.3,5409.69,607789500,5409.69,0.002821408
6/06/2014,5377.9,5413,5377.9,5404.52,686396100,5404.52,-0.000955692
5/06/2014,5386,5396,5358.3,5377.95,690450700,5377.95,-0.004916255
4/06/2014,5420,5423.4,5383.5,5386.01,686068700,5386.01,0.001498712
3/06/2014,5458.4,5465.7,5418.7,5420.01,790337700,5420.01,0.006312651
2/06/2014,5432.9,5462.3,5422.7,5458.38,716815600,5458.38,0.007079323
30/05/2014,5459.1,5464.6,5432.9,5432.93,1345420800,5432.93,-0.004662556
29/05/2014,5466.4,5467.8,5443.6,5459.07,571393000,5459.07,0.0048114
28/05/2014,5451.2,5480.7,5451.2,5466.44,643138000,5466.44,0.001350047
27/05/2014,5451.9,5468,5446,5451.16,558712900,5451.16,-0.002795238
26/05/2014,5431.9,5452,5431.9,5451.88,532456900,5451.88,0.000132082
23/05/2014,5419.2,5446.1,5419.2,5431.93,664152200,5431.93,-0.003659288
22/05/2014,5364.8,5429.8,5364.8,5419.23,696287000,5419.23,-0.002338027
21/05/2014,5361,5364.8,5313.6,5364.8,738879000,5364.8,-0.010043862
20/05/2014,5350.5,5373.6,5326.1,5361.05,660763600,5361.05,-0.000699001
