"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#HR: Get expertise on creating an engaging benefits program that reaches &amp; educates your entire organization. Watch: http://t.co/BLPXyb4Pe0",FALSE,0,NA,2014-08-22 17:07:12,FALSE,NA,"502864575373385729",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
"@GumboShowJoe You bet, Joe! Thanks for coming.",FALSE,1,"GumboShowJoe",2014-08-22 17:06:11,FALSE,"502794155152920576","502864322045808640","15670127","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
"The benefits of coffee for productivity and collaboration: http://t.co/NwDBv3kFse #coffeeweek #takeback60 http://t.co/ceTiGpEWLz",FALSE,0,NA,2014-08-22 17:02:14,FALSE,NA,"502863327635472384",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"What if your company replaced #workations with a company-planned workation? http://t.co/GgsSiUvUMV http://t.co/YCXEwptLOy",FALSE,0,NA,2014-08-22 15:02:30,FALSE,NA,"502833194769850368",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"#Sales: Looking for some non-sketchy ways to stay in touch w/ your leads? 7 helpful tricks: http://t.co/wBPZ7OSL5X via @FastCompany",FALSE,0,NA,2014-08-22 14:02:00,FALSE,NA,"502817969890942977",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"We love #innovation! This bike grows up w/ your kids so you don't have to buy new ones: http://t.co/lBk3mPcIbi http://t.co/yz2u1veE0o",FALSE,0,NA,2014-08-22 13:03:05,FALSE,NA,"502803141231136768",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
"Today's workers &amp; businesses are rethinking what the ""#workday"" means. The 12 most common types of #flexwork: http://t.co/hrzmKX3PKN",FALSE,0,NA,2014-08-22 12:01:41,FALSE,NA,"502787690363109376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Siri’s inventors are building a radical new AI that does anything you ask. Read about it in our Flipboard magazine: http://t.co/qIVCQ1e3Ab",FALSE,0,NA,2014-08-22 01:01:14,FALSE,NA,"502621482229714944",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#IT's biggest challenges = #mobility, cloud &amp; big data. We addressed these challenges at #GartnerCAT : http://t.co/9IgwC28DXN",FALSE,0,NA,2014-08-22 00:01:37,FALSE,NA,"502606482173882368",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Who's responsible for ensuring your customers are happy every time they reach out? The #CIO: http://t.co/SSGKSknH2R http://t.co/lD9JdQBgSI",FALSE,1,NA,2014-08-21 22:01:27,FALSE,NA,"502576239404941314",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
